time1,cali1,time2,cali2
17:57:53,-220.32,17:57:53,4.46
17:57:53,-220.34,17:57:53,4.47
17:57:53,-220.36,17:57:53,4.49
17:57:53,-220.34,17:57:53,4.44
17:57:53,-220.3,17:57:53,4.44
17:57:53,-220.28,17:57:53,4.46
17:57:53,-220.3,17:57:53,4.52
17:57:53,-220.32,17:57:53,4.54
17:57:53,-220.34,17:57:53,4.47
17:57:53,-220.32,17:57:54,4.43
17:57:53,-220.34,17:57:54,4.45
17:57:53,-220.3,17:57:54,4.52
17:57:53,-220.3,17:57:54,4.52
17:57:53,-220.3,17:57:54,4.43
17:57:53,-220.3,17:57:54,4.46
17:57:53,-220.34,17:57:54,4.45
17:57:53,-220.34,17:57:54,4.47
17:57:53,-220.32,17:57:54,4.46
17:57:53,-220.34,17:57:54,4.47
17:57:53,-220.32,17:57:55,4.48
17:57:53,-220.34,17:57:55,4.42
17:57:53,-220.32,17:57:55,4.54
17:57:53,-220.32,17:57:55,4.6
17:57:53,-220.32,17:57:55,4.55
17:57:53,-220.36,17:57:55,4.78
17:57:53,-220.36,17:57:55,4.68
17:57:53,-220.36,17:57:55,4.7
17:57:53,-220.34,17:57:55,4.39
17:57:53,-220.32,17:57:55,4.11
17:57:53,-220.34,17:57:56,4.19
17:57:53,-220.34,17:57:56,4.3
17:57:53,-220.34,17:57:56,4.59
17:57:53,-220.34,17:57:56,5.03
17:57:53,-220.34,17:57:56,4.69
17:57:53,-220.3,17:57:56,4.3
17:57:53,-220.34,17:57:56,4.02
17:57:53,-220.34,17:57:56,4.11
17:57:53,-220.3,17:57:56,4.02
17:57:53,-220.28,17:57:56,4.37
17:57:53,-220.28,17:57:57,4.82
17:57:53,-220.3,17:57:57,5.47
17:57:53,-220.26,17:57:57,9.37
17:57:53,-220.28,17:57:57,12.09
17:57:53,-220.26,17:57:57,15.27
17:57:53,-220.28,17:57:57,16.28
17:57:53,-220.24,17:57:57,18.58
17:57:53,-220.22,17:57:57,21.88
